,instance_name,num_agents,planner,single_agent_planner,trail,success,n_collision,time,path_length,mean_acc,mean_jerk,mean_geo,expansions,dynamic,diffusion_step,constraint,trail_path
51,DropRegion,12,CBS,KCBSLower,6,0,3,36.374861001968384,2.741399904092153,0.019365622273956735,0.02622341892371575,0.0019442106422502548,23,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/6
52,DropRegion,12,CBS,KCBSLower,1,0,1,749.3071479797363,3.1788000067075095,0.01952370163053274,0.0259028358074526,0.0020811165935204676,117,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/1
53,DropRegion,12,CBS,KCBSLower,8,0,1,132.96325993537903,2.7354000012079873,0.01850850887907048,0.024588188466926415,0.001950079497570793,48,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/8
54,DropRegion,12,CBS,KCBSLower,4,1,0,64.341472864151,2.861399988333384,0.015580003149807453,0.020927323261275887,0.0015482344315387309,38,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/4
55,DropRegion,12,CBS,KCBSLower,3,0,1,10.532140731811523,2.8914000193277993,0.015036814535657564,0.020192748090873163,0.001611560214466105,28,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/3
56,DropRegion,12,CBS,KCBSLower,2,0,1,34.71953201293945,2.683200011650721,0.01947759899000327,0.025425602371493976,0.0020152376867675534,20,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/2
57,DropRegion,12,CBS,KCBSLower,5,0,1,100.69294691085815,2.9477999806404114,0.015713577857241035,0.02072417293675244,0.001574408117448911,41,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___KCBSLower/5
58,DropRegion,12,CBS,WAStar,0,1,0,16.66312599182129,2.233333239952723,0.02355021541006863,0.02569275621014337,0.002666666177295459,137,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___CBS/single_agent_planner___WAStar/0
59,DropRegion,12,ECBS,WAStar,0,1,0,12.585403203964233,2.333333214124044,0.02455063909292221,0.028786576353013515,0.003433332914331307,47,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___12/planner___ECBS/single_agent_planner___WAStar/0
60,DropRegion,15,CBS,KCBSLower,9,0,2,707.2257378101349,2.7950400670369464,0.015535953889290492,0.02079994957894087,0.0016315464163199067,126,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/9
61,DropRegion,15,CBS,KCBSLower,0,0,2,213.41458702087402,2.7259199460347494,0.015553889361520608,0.021516291176279387,0.0015735273715108632,51,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/0
62,DropRegion,15,CBS,KCBSLower,7,0,1,228.1810920238495,3.213599967956543,0.017507394092778364,0.023386871504286925,0.0018842180569966635,88,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/7
63,DropRegion,15,CBS,KCBSLower,6,0,3,751.404901266098,2.922719955444336,0.01620476469397545,0.021469430128733317,0.001599992827201883,113,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/6
64,DropRegion,15,CBS,KCBSLower,1,0,4,166.45533895492554,2.743679984410604,0.015739830334981282,0.02040009672443072,0.0015712907693038384,97,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/1
65,DropRegion,15,CBS,KCBSLower,8,0,2,155.49423694610596,2.8675200303395587,0.0151361383497715,0.02017762220154206,0.0015007147487873832,62,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/8
66,DropRegion,15,CBS,KCBSLower,4,1,0,18.316100120544434,2.9270399729410808,0.01922906513015429,0.025606451183557512,0.0019528609157229463,40,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/4
67,DropRegion,15,CBS,KCBSLower,3,0,6,1018.6335260868073,0.0,0.0,0.0,0.0,0,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/3
68,DropRegion,15,CBS,KCBSLower,2,0,2,35.18573498725891,2.7590399106343586,0.01878695630778869,0.025590920262038706,0.0019941675127483904,28,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/2
69,DropRegion,15,CBS,KCBSLower,5,0,2,100.3676872253418,3.0172799587249757,0.017273163547118504,0.023035251473387083,0.0017418010315547387,98,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___KCBSLower/5
70,DropRegion,15,CBS,WAStar,0,0,2,106.9360990524292,2.213333280881246,0.02450475823134184,0.03212005315969388,0.00394666608190164,943,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___CBS/single_agent_planner___WAStar/0
71,DropRegion,15,ECBS,WAStar,0,0,2,11.686148881912231,2.346666614214579,0.02502478358025352,0.03095903924355904,0.004197530526046951,26,,,,/Users/zhilinhe/desktop/experiment_results/instance_name___DropRegion/num_agents___15/planner___ECBS/single_agent_planner___WAStar/0
